icd_code,event_norm_code,icd_version,long_title,dx_manual_dialysis,dx_hemodialysis_or_unspecified,dx_peritoneal_dialysis,dx_esrd,dx_heart_failure,dx_mi,dx_stroke
I63413,I63413,10,Cerebral infarction due to embolism of bilateral middle cerebral arteries,0,0,0,0,0,0,1
I63031,I63031,10,Cerebral infarction due to thrombosis of right carotid artery,0,0,0,0,0,0,1
I5042,I5042,10,Chronic combined systolic (congestive) and diastolic (congestive) heart failure,0,0,0,0,1,0,0
I63443,I63443,10,Cerebral infarction due to embolism of bilateral cerebellar arteries,0,0,0,0,0,0,1
I6312,I6312,10,Cerebral infarction due to embolism of basilar artery,0,0,0,0,0,0,1
I63512,I63512,10,Cerebral infarction due to unspecified occlusion or stenosis of left middle cerebral artery,0,0,0,0,0,0,1
I63211,I63211,10,Cerebral infarction due to unspecified occlusion or stenosis of right vertebral artery,0,0,0,0,0,0,1
T85611A,T85611A,10,"Breakdown (mechanical) of intraperitoneal dialysis catheter, initial encounter",0,0,1,0,0,0,0
I6001,I6001,10,Nontraumatic subarachnoid hemorrhage from right carotid siphon and bifurcation,0,0,0,0,0,0,1
I614,I614,10,Nontraumatic intracerebral hemorrhage in cerebellum,0,0,0,0,0,0,1
I612,I612,10,"Nontraumatic intracerebral hemorrhage in hemisphere, unspecified",0,0,0,0,0,0,1
I63441,I63441,10,Cerebral infarction due to embolism of right cerebellar artery,0,0,0,0,0,0,1
I6202,I6202,10,Nontraumatic subacute subdural hemorrhage,0,0,0,0,0,0,1
I63012,I63012,10,Cerebral infarction due to thrombosis of left vertebral artery,0,0,0,0,0,0,1
I63422,I63422,10,Cerebral infarction due to embolism of left anterior cerebral artery,0,0,0,0,0,0,1
I602,I602,10,Nontraumatic subarachnoid hemorrhage from anterior communicating artery,0,0,0,0,0,0,1
I63541,I63541,10,Cerebral infarction due to unspecified occlusion or stenosis of right cerebellar artery,0,0,0,0,0,0,1
I6319,I6319,10,Cerebral infarction due to embolism of other precerebral artery,0,0,0,0,0,0,1
T8571XA,T8571XA,10,"Infection and inflammatory reaction due to peritoneal dialysis catheter, initial encounter",0,0,1,0,0,0,0
I6011,I6011,10,Nontraumatic subarachnoid hemorrhage from right middle cerebral artery,0,0,0,0,0,0,1
I6381,I6381,10,Other cerebral infarction due to occlusion or stenosis of small artery,0,0,0,0,0,0,1
I1311,I1311,10,"Hypertensive heart and chronic kidney disease without heart failure, with stage 5 chronic kidney disease, or end stage renal disease",0,0,0,0,1,0,0
I63521,I63521,10,Cerebral infarction due to unspecified occlusion or stenosis of right anterior cerebral artery,0,0,0,0,0,0,1
I63442,I63442,10,Cerebral infarction due to embolism of left cerebellar artery,0,0,0,0,0,0,1
I63232,I63232,10,Cerebral infarction due to unspecified occlusion or stenosis of left carotid arteries,0,0,0,0,0,0,1
I63311,I63311,10,Cerebral infarction due to thrombosis of right middle cerebral artery,0,0,0,0,0,0,1
I63112,I63112,10,Cerebral infarction due to embolism of left vertebral artery,0,0,0,0,0,0,1
I613,I613,10,Nontraumatic intracerebral hemorrhage in brain stem,0,0,0,0,0,0,1
I63511,I63511,10,Cerebral infarction due to unspecified occlusion or stenosis of right middle cerebral artery,0,0,0,0,0,0,1
I63111,I63111,10,Cerebral infarction due to embolism of right vertebral artery,0,0,0,0,0,0,1
I0981,I0981,10,Rheumatic heart failure,0,0,0,0,1,0,0
I63531,I63531,10,Cerebral infarction due to unspecified occlusion or stenosis of right posterior cerebral artery,0,0,0,0,0,0,1
I6310,I6310,10,Cerebral infarction due to embolism of unspecified precerebral artery,0,0,0,0,0,0,1
I97130,I97130,10,Postprocedural heart failure following cardiac surgery,0,0,0,0,1,0,0
I63423,I63423,10,Cerebral infarction due to embolism of bilateral anterior cerebral arteries,0,0,0,0,0,0,1
I5041,I5041,10,Acute combined systolic (congestive) and diastolic (congestive) heart failure,0,0,0,0,1,0,0
I63532,I63532,10,Cerebral infarction due to unspecified occlusion or stenosis of left posterior cerebral artery,0,0,0,0,0,0,1
I604,I604,10,Nontraumatic subarachnoid hemorrhage from basilar artery,0,0,0,0,0,0,1
I63449,I63449,10,Cerebral infarction due to embolism of unspecified cerebellar artery,0,0,0,0,0,0,1
I63213,I63213,10,Cerebral infarction due to unspecified occlusion or stenosis of bilateral vertebral arteries,0,0,0,0,0,0,1
I6349,I6349,10,Cerebral infarction due to embolism of other cerebral artery,0,0,0,0,0,0,1
I63032,I63032,10,Cerebral infarction due to thrombosis of left carotid artery,0,0,0,0,0,0,1
I6359,I6359,10,Cerebral infarction due to unspecified occlusion or stenosis of other cerebral artery,0,0,0,0,0,0,1
I6052,I6052,10,Nontraumatic subarachnoid hemorrhage from left vertebral artery,0,0,0,0,0,0,1
I63113,I63113,10,Cerebral infarction due to embolism of bilateral vertebral arteries,0,0,0,0,0,0,1
I6309,I6309,10,Cerebral infarction due to thrombosis of other precerebral artery,0,0,0,0,0,0,1
I63333,I63333,10,Cerebral infarction due to thrombosis of bilateral posterior cerebral arteries,0,0,0,0,0,0,1
I63421,I63421,10,Cerebral infarction due to embolism of right anterior cerebral artery,0,0,0,0,0,0,1
I6051,I6051,10,Nontraumatic subarachnoid hemorrhage from right vertebral artery,0,0,0,0,0,0,1
I63433,I63433,10,Cerebral infarction due to embolism of bilateral posterior cerebral arteries,0,0,0,0,0,0,1
I63133,I63133,10,Cerebral infarction due to embolism of bilateral carotid arteries,0,0,0,0,0,0,1
T85691A,T85691A,10,"Other mechanical complication of intraperitoneal dialysis catheter, initial encounter",0,0,1,0,0,0,0
I63522,I63522,10,Cerebral infarction due to unspecified occlusion or stenosis of left anterior cerebral artery,0,0,0,0,0,0,1
I63539,I63539,10,Cerebral infarction due to unspecified occlusion or stenosis of unspecified posterior cerebral artery,0,0,0,0,0,0,1
I6020,I6020,10,Nontraumatic subarachnoid hemorrhage from unspecified anterior communicating artery,0,0,0,0,0,0,1
I63513,I63513,10,Cerebral infarction due to unspecified occlusion or stenosis of bilateral middle cerebral arteries,0,0,0,0,0,0,1
I228,I228,10,Subsequent ST elevation (STEMI) myocardial infarction of other sites,0,0,0,0,0,1,0
I63341,I63341,10,Cerebral infarction due to thrombosis of right cerebellar artery,0,0,0,0,0,0,1
